5	2.5	49	38	30	10
7.5	3.75	49	36	33	10
10	5	71	67	88	10
12.5	6.25	664	721	678	10
15	7.5	932	935	907	10
17.5	8.75	888	827	875	10
20	10	685	679	708	10
21	10.5	648	611	636	10
22	11	568	591	551	10
22.5	11.25	569	591	594	10
23	11.5	617	603	639	10
23.5	11.75	701	678	673	10
24	12	932	942	995	10
24.5	12.25	1356	1287	1348	10
25	12.5	1371	1320	1381	10
25.5	12.75	1224	1280	1211	10
26	13	1177	1213	1194	10
26.5	13.25	2262	2277	2260	10
27	13.5	3098	3180	3200	10
27.5	13.75	4341	4424	4299	10
28	14	3287	3366	3384	10
28.5	14.25	1945	1903	1946	10
29	14.5	981	1020	1041	10
29.5	14.75	809	773	725	10
30	15	411	439	428	10
32.5	16.25	228	249	248	10
35	17.5	217	194	215	10
37.5	18.75	179	200	213	10
40	20	177	193	196	10
42.5	21.25	160	175	185	10
45	22.5	162	168	159	10
47.5	23.75	144	150	142	10
50	25	178	151	164	10
50.5	25.25	208	195	195	10
51	25.5	232	232	262	10
51.5	25.75	318	310	327	10
52	26	292	297	313	10
52.5	26.25	247	261	236	10
53	26.5	185	173	182	10
53.5	26.75	174	158	191	10
54	27	143	167	155	10
54.5	27.25	172	143	154	10
55	27.5	141	153	151	10
55.5	27.75	217	179	171	10
56	28	208	191	223	10
56.5	28.25	271	279	259	10
57	28.5	439	442	423	10
57.5	28.75	672	655	666	10
58	29	848	876	882	10
58.5	29.25	618	592	588	10
59	29.5	346	266	284	10
59.5	29.75	225	215	237	10
60	30	153	175	154	10
62.5	31.25	112	106	106	10
65	32.5	118	104	105	10
67.5	33.75	106	117	103	10
70	35	107	120	118	10
72.5	36.25	97	104	105	10
75	37.5	105	97	116	10
77.5	38.75	117	113	108	10
80	40	92	97	119	10
80.5	40.25	91	107	111	10
81	40.5	134	121	137	10
81.5	40.75	146	143	105	10
82	41	152	151	165	10
82.5	41.25	154	132	161	10
83	41.5	104	136	140	10
83.5	41.75	108	104	132	10
84	42	109	140	96	10
84.5	42.25	105	107	128	10
85	42.5	82	86	129	10
85.5	42.75	119	95	115	10
86	43	109	115	99	10
86.5	43.25	99	93	83	10
87	43.5	96	86	91	10
90	45	99	120	118	10
90.5	45.25	92	100	108	10
91	45.5	117	115	113	10
91.5	45.75	109	124	126	10
92	46	146	131	127	10
92.5	46.25	140	155	132	10
93	46.5	246	209	188	10
93.5	46.75	300	294	308	10
94	47	253	260	278	10
94.5	47.25	168	175	177	10
95	47.5	123	136	148	10
95.5	47.75	99	117	132	10
96	48	99	99	120	10
96.5	48.25	108	105	84	10
97	48.5	108	108	110	10
97.5	48.75	108	95	122	10
100	50	95	107	111	10
102.5	51.25	91	114	110	10
105	52.5	105	129	114	10
107.5	53.75	110	94	113	10
110	55	126	142	121	10
